58	kimii1217	きみー	http://twitter.com/kimii1217	@MAKOMIYUCHAN  そうなんですね！ 桜は散ってたりまだまだ残ってたりですね(*^^*)昨日もあちこちでやってましたよ(^-^)/
59	ykchiki	yukichi(ゆきち)	http://twitter.com/ykchiki	わーお\(//∇//)\素敵。FRaUの言葉も素敵でした。活動休止中、あのころには戻りたくない。うん。やっぱり2人にはたくさんの歓声浴びてファンたちの熱を一身に浴びて、感じて。そういうステージの上が似合うよ。
60	DXQSO	エッシー (ワンコと一緒に寝落ち倶楽部)	http://twitter.com/DXQSO	@kirara_0331 こんにちは、ジェイソン知ってるんですか？怖さも倍増(笑)
61	yoko_memo	よーこ	http://twitter.com/yoko_memo	ｗｗｗｗｗ → MOCO'sキッチンに野獣先輩ｷﾀ━━━━(ﾟ∀ﾟ)━━━━ｯ!! - VIPPER速報 http://t.co/Jr7FONNG
62	dameyuka	ヒマワリ@妊娠９ヶ月	http://twitter.com/dameyuka	@miya1827 苦手やけど、食べ物は違う＼(^o^)／ 貰える物は貰うし、買ってくれると言ったら遠慮はしない(^^)
63	mizuiropanci	まひる	http://twitter.com/mizuiropanci	@t516_s125 はじめまして!! トーマお誕生日ツイートまとめて下さってありがとうございます＞＜まったく問題ないです。むしろ嬉しい(*´｀*)本当にありがとうございます!!
64	yuuho75	遊歩	http://twitter.com/yuuho75	肩にシールド付けると途端に量産機っぽい。両肩にシールド付けると途端に強化機体っぽい(´Д｀;)
65	center_i	いちのせき市民活動センター	http://twitter.com/center_i	陸前高田の大隅つどいの丘商店街、本日カギの引き渡しでした。市民活動センターの事務所も、少し荷物入れてみました☆これから事務所作り始まります。 http://t.co/eU7rHZvP
66	redmermaid2	red2@犬の気持ちが知りたい	http://twitter.com/redmermaid2	ついつい飲みものと何かコンビニで買っちゃうね。 http://t.co/TNzW4L4Y
67	tkom_utsu	遠坂鬱臣	http://twitter.com/tkom_utsu	@nekoomi_t いやここは「うぇーいwwwww最近鬱なことも忘れて股間のマグナムがランデブーしている遠坂の党首鬱臣くんでーすwwwwwwwwwwww」の方がいいと思うが
68	Hamuhumming	はむはみんぐ@俺はコーヒー飲んでる	http://twitter.com/Hamuhumming	同期の人にギルバートそっくりな人がいる･･････！　声まで似てて俺ずっとニヤニヤしてた(｀･ω･´)
69	kn_0227	K.Niko	http://twitter.com/kn_0227	@kenpi8snoopy 最初にTwitterで今日はディズニーにウォーリーが来てますって言って見つけた人には何とみたいな感じで勝手にゲームにしちゃえば＼(^o^)／笑
70	genda_bot	源田	http://twitter.com/genda_bot	@2shiki_0213 おはよう弐色本気出せ
71	awa6w6	石鹸からひねり出したawa	http://twitter.com/awa6w6	わあい、ろうそく！awa、ろうそく大好き！ http://t.co/5golLngB おいそれ何につかう気だwww
72	Harry_618	Izumi Hario	http://twitter.com/Harry_618	筑波大学新学期スタートの１日目はぽかぽか陽気。お昼ご飯はゆかっちょからのかもめのたまご×２と、ふうちゃんからのマルセイバターサンド。北のお土産で賄った！ありがとう(*^^*)
73	2ch_c	しぃアンテナ(*ﾟーﾟ)	http://twitter.com/2ch_c	【速報】　木嶋佳苗被告、死刑 http://t.co/4E0P98rc
74	school_aruaru	学校あるある【共感したらRT】	http://twitter.com/school_aruaru	体育座りは案外きつい
75	FENDI_JAPAN	FENDI JAPAN	http://twitter.com/FENDI_JAPAN	FENDI ARアプリ for iPhone & Android フェンディが小学館ファッション誌「AneCan」「Oggi」「Domani」とコラボレーション！Facebook | https://t.co/JMHQ1Wld
76	yayoiyuki	祐樹	http://twitter.com/yayoiyuki	@skh_kk 仲良かった子たち(推測)がバラバラになってるのがなんともいえない萌える。キセキは黒子気にしすぎ(笑
77	Blue_tiger8208	Dai 	http://twitter.com/Blue_tiger8208	@ikaika1980 今コンビニでうなだれ中～(笑)桧はほんまあかんねん…桧風呂入れないくらい(  ；∀；)今絶好調やし桧。花粉症じゃない人が羨ましすぎる～
78	gyomen_jin	魚面人	http://twitter.com/gyomen_jin	おおお！北朝鮮が衛星？打ち上げ失敗を認めた！これから技術者達が原因究明ですと...それが終わったら...消......(;ﾟ;ж;ﾟ;)??
79	Ifc37Mr10	和泉竜司	http://twitter.com/Ifc37Mr10	@korinchaaaaan 真似すきやな\(//∇//)\ 何持ってくの？
80	tateakkey	akkey	http://twitter.com/tateakkey	@daisy_5012 よ^^ 一応ね〜^^まずユナクのおえりなさい！見に行って^^韓国そのまま２・３日いて^^ 帰ったら韓国のワーホリをしたい！！
81	sirura	見崎しるら	http://twitter.com/sirura	@ToyonTaker しるら・ヴィ・ブリタニアが命じる！GalaxyNexusを5万6000円で購入せよ！（ｷｭｲｰｰﾝ
82	Yo_in_Leaf	小鳥遊 葉@フランボワーズ	http://twitter.com/Yo_in_Leaf	これはわかりやすいｗｗｗｗｗ RT @KyouHatsuki: 韓国が北朝鮮がミサイル(ロケット？ｗ)を感知したのに、日本が感知できなかった理由がこんなにわかりゃすい図解はないｗ http://t.co/IwlioSoY
83	r_good_speed	グッドスピードとＸＸＸ	http://twitter.com/r_good_speed	またですかw RT @JunkoGuitar: すんません 今検問されてるんで遅れるかも 選ばれたみたいで
84	Ksira_	白石蔵ノ介@みか石	http://twitter.com/Ksira_	こないだ言うたやん（くすくす） QT @hikaru_z0pa0: やったやった! RT @Ksira_: （なでなで） QT @hikaru_z0pa0: !(ぱぁぁ) RT @Ksira_: ひか参加やろ（真顔） QT @hikaru_z0pa0: くらとか入江さんにあいたい
85	Yohanenopen	いんでっくすたん	http://twitter.com/Yohanenopen	@basutoro96 おっはよー、ばすとろ＠アマガミ＆森島先輩厨＠俺妹２期！
86	mitimoto3	みちもと＠生活ノウハウランキング	http://twitter.com/mitimoto3	13日の閑話休題情報★No.1！ゴルフに出かけよう！今ネットで売れてるゴルフクラブはこれ！人気ランキング　ヤフーVS楽天→　 http://t.co/R0pWbVuu
87	julestkd	Juliana	http://twitter.com/julestkd	dans mon souvenir, un drame. tout ce qu'il m'a laissé.
88	saikyoumama1	saikyoumama	http://twitter.com/saikyoumama1	★金運,勝負運,　ギャンブル運,が付くと評判のパワーストーン【勝龍眼】販売終了後も問い合わせ殺到で遂に再販開始！ http://t.co/QUB3b3Ty
89	nekomin3939	ねこみん	http://twitter.com/nekomin3939	@Wakame_HPS なんかイロイロ誤字ってたけど、まぁそんな感じ。そしてキャラスロ増えたあとも、なぜかアサ系の作成予定はないｗ　というかケミやプリがメインのウチから見ると、シーフ系が鬼強く感じるんですがｗ
90	deita_ve	ときこ＠うたプリ破産	http://twitter.com/deita_ve	RT @chanoha88: B☆MVから星屑、MLLGまでの移り変わりが「ついてくればいいんだ」→「迎えにいくよ」→「影をふたつ並べて」ってどんどん歩み寄っていってるのが愛しい。ひとりよがりで前だけ見てたトキヤが、誰かと歩幅を合わせることを覚えて安らぎを手に入れてる。七 ...
91	DeepSeaEnergy	Deep Sea Energy	http://twitter.com/DeepSeaEnergy	箱買いしたジュースやビールを一瞬で冷蔵庫に入れる方法（動画あり） http://t.co/HirohTCW @lifehackerjapanさんから
92	sakuranbo_23	さくらんぼ	http://twitter.com/sakuranbo_23	@okagym 沢山持ってるんですねっ。ファッションが楽しめていいなぁ～♪確かサングラスもじゃなかったですかぁ？
93	kaorin22m_t	Kaori.Nxxx	http://twitter.com/kaorin22m_t	いいともさっき一瞬だけ見たらつよぽがぬんぼの衣装着てたｗｗ朝録画予約してこようか少し悩んだんだけど、ひるおびの中居しゃん録らなきゃだから諦めたんたよね～(^o^;)でも中居しゃんこっちでは見れない時間帯に出たっぽい(T-T)地味に結構ショック(-_-;)
94	guresuke	グレスケ：２日ナ30a	http://twitter.com/guresuke	@crescent_D 明日は、グレスケ亭でカレーだが・・・どうする？みずほ台集合かい？
95	nhk_news	NHKニュース	http://twitter.com/nhk_news	官房長官 情報伝達の在り方検証 http://t.co/d9lmuwgZ #nhk_news
96	stereorevive	西田 康孝 / NI-C	http://twitter.com/stereorevive	直売所、たんまり買って新鮮激安。日曜日の花見も地産地消で楽しめそう♩ http://t.co/fzcTMpMx
